COLUMN_NAME,DATA_TYPE
-----------,---------
Tank_Number,varchar
Product_ID,varchar
TimeStamp,datetime
Level,int
Level_Water,int
Temperature,float
Density,float
Volume_Obs,float
Density_Std,float
Volume_Std,float
Volume_LongTons,float
Volume_BBL60F,float
Flowrate,float
Alarm_Status,int
Level_DeadStock,int
Volume_DeadStock,float
Level_Safe_Capacity,int
Volume_Safe_Capacity,float
Ack,bit
FlowRateMperSecond,float
LastLiquidLevel,float
LastTimeStamp,datetime
TotalSecond,int
LastVolume,float
Pumpable,float
AlarmMessage,varchar
Ullage,float

(27 rows affected)
